MSR,sequence,chip_number,chip_coordinate,stage_coordinate,dnum_group,mp_number,parameter,cd_value,no_of_mp_image,mp_image_name_01
20250626_CD_CONTACT_14nm_DV361650,64,"-5, 5","13830515,250191","178878705, 142047050","16, -1",16,CD_MIDDLE,37.73,1,20250626_CD_CONTACT_14nm_DV361650_064_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,65,"-2, -9","13028175,217009","173942812, 148627780","27, -1",27,CD_BOTTOM,38.01,4,20250626_CD_CONTACT_14nm_DV361650_065_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,65,"-2, -9","13028175,217009","173942812, 148627780","27, -1",27,CD_TOP,19.88,2,20250626_CD_CONTACT_14nm_DV361650_065_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,65,"-2, -9","13028175,217009","173942812, 148627780","27, -1",27,CD_MIDDLE,43.06,5,20250626_CD_CONTACT_14nm_DV361650_065_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,66,"1, 8","13490358,207650","175443454, 149790631","25, -1",25,CD_BOTTOM,37.63,5,20250626_CD_CONTACT_14nm_DV361650_066_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,66,"1, 8","13490358,207650","175443454, 149790631","25, -1",25,CD_TOP,28.27,3,20250626_CD_CONTACT_14nm_DV361650_066_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,66,"1, 8","13490358,207650","175443454, 149790631","25, -1",25,CD_MIDDLE,40.88,2,20250626_CD_CONTACT_14nm_DV361650_066_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,67,"3, -1","12834431,266874","175658708, 144691140","10, -1",10,CD_BOTTOM,36.99,4,20250626_CD_CONTACT_14nm_DV361650_067_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,67,"3, -1","12834431,266874","175658708, 144691140","10, -1",10,CD_TOP,43.94,3,20250626_CD_CONTACT_14nm_DV361650_067_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,67,"3, -1","12834431,266874","175658708, 144691140","10, -1",10,CD_MIDDLE,38.63,5,20250626_CD_CONTACT_14nm_DV361650_067_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,68,"-2, -1","11491285,265802","172162530, 145109362","29, -1",29,CD_BOTTOM,18.56,1,20250626_CD_CONTACT_14nm_DV361650_068_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,68,"-2, -1","11491285,265802","172162530, 145109362","29, -1",29,CD_TOP,39.37,4,20250626_CD_CONTACT_14nm_DV361650_068_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,68,"-2, -1","11491285,265802","172162530, 145109362","29, -1",29,CD_MIDDLE,44.56,1,20250626_CD_CONTACT_14nm_DV361650_068_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,69,"-6, 4","10052492,205164","170719322, 142616291","11, -1",11,CD_BOTTOM,34.17,5,20250626_CD_CONTACT_14nm_DV361650_069_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,69,"-6, 4","10052492,205164","170719322, 142616291","11, -1",11,CD_TOP,34.42,2,20250626_CD_CONTACT_14nm_DV361650_069_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,69,"-6, 4","10052492,205164","170719322, 142616291","11, -1",11,CD_MIDDLE,17.18,2,20250626_CD_CONTACT_14nm_DV361650_069_CD_MIDDLE_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,70,"-6, 2","10970843,242726","175324701, 141161697","10, -1",10,CD_BOTTOM,25.2,1,20250626_CD_CONTACT_14nm_DV361650_070_CD_BOTTOM_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,70,"-6, 2","10970843,242726","175324701, 141161697","10, -1",10,CD_TOP,30.65,4,20250626_CD_CONTACT_14nm_DV361650_070_CD_TOP_20250719_083511.tif
20250626_CD_CONTACT_14nm_DV361650,70,"-6, 2","10970843,242726","175324701, 141161697","10, -1",10,CD_MIDDLE,31.67,2,20250626_CD_CONTACT_14nm_DV361650_070_CD_MIDDLE_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,1,"-2, 7","12385409,268132","178804546, 146426807","19, -1",19,TOP_WIDTH,44.85,4,20250625_PROF_CONTACT_DEPTH_WF872343_001_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,2,"-6, 8","14190818,290486","173725976, 147097975","20, -1",20,TOP_WIDTH,38.66,3,20250625_PROF_CONTACT_DEPTH_WF872343_002_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,3,"7, -4","13466839,219622","170106793, 142176618","16, -1",16,TOP_WIDTH,44.54,2,20250625_PROF_CONTACT_DEPTH_WF872343_003_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,4,"0, -2","12415191,227413","171167580, 148821924","26, -1",26,TOP_WIDTH,20.19,5,20250625_PROF_CONTACT_DEPTH_WF872343_004_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,5,"-7, 7","11121773,224959","171055548, 142118885","4, -1",4,TOP_WIDTH,41.36,1,20250625_PROF_CONTACT_DEPTH_WF872343_005_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,6,"6, 5","12557430,281797","171553638, 140989595","0, -1",0,TOP_WIDTH,41.56,5,20250625_PROF_CONTACT_DEPTH_WF872343_006_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,7,"-3, -2","13484359,234392","178213082, 142686884","17, -1",17,TOP_WIDTH,28.9,1,20250625_PROF_CONTACT_DEPTH_WF872343_007_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,8,"4, -2","11384616,261821","176778420, 148702028","21, -1",21,TOP_WIDTH,28.68,2,20250625_PROF_CONTACT_DEPTH_WF872343_008_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,9,"-1, 10","14027199,260851","175382950, 144367791","11, -1",11,TOP_WIDTH,31.86,3,20250625_PROF_CONTACT_DEPTH_WF872343_009_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,10,"3, -6","11138054,249664","172596356, 149583461","10, -1",10,TOP_WIDTH,19.27,1,20250625_PROF_CONTACT_DEPTH_WF872343_010_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,11,"3, 8","13804848,250123","179291218, 144044801","12, -1",12,TOP_WIDTH,16.59,2,20250625_PROF_CONTACT_DEPTH_WF872343_011_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,12,"9, 4","13687099,215850","177864697, 142945223","21, -1",21,TOP_WIDTH,21.45,4,20250625_PROF_CONTACT_DEPTH_WF872343_012_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,13,"9, 4","11822592,273988","179773641, 143123052","29, -1",29,TOP_WIDTH,15.88,2,20250625_PROF_CONTACT_DEPTH_WF872343_013_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,14,"-5, 3","11301841,275582","179510577, 143591976","28, -1",28,TOP_WIDTH,20.14,1,20250625_PROF_CONTACT_DEPTH_WF872343_014_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,15,"10, 0","13582774,242854","179817636, 141264379","7, -1",7,TOP_WIDTH,31.59,2,20250625_PROF_CONTACT_DEPTH_WF872343_015_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,16,"-3, -6","11397238,242611","176101744, 144102384","27, -1",27,TOP_WIDTH,41.84,2,20250625_PROF_CONTACT_DEPTH_WF872343_016_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,17,"-1, -6","14663597,240378","174475796, 147010785","23, -1",23,TOP_WIDTH,34.34,4,20250625_PROF_CONTACT_DEPTH_WF872343_017_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,18,"-4, 6","11355277,251522","174862755, 144146242","18, -1",18,TOP_WIDTH,24.98,3,20250625_PROF_CONTACT_DEPTH_WF872343_018_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,19,"5, 0","14178511,280112","171954191, 143027624","19, -1",19,TOP_WIDTH,39.75,5,20250625_PROF_CONTACT_DEPTH_WF872343_019_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,20,"2, -8","10022549,224483","179580515, 142924781","5, -1",5,TOP_WIDTH,16.66,2,20250625_PROF_CONTACT_DEPTH_WF872343_020_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,21,"7, 8","14998736,261408","178841593, 148350035","6, -1",6,TOP_WIDTH,29.71,3,20250625_PROF_CONTACT_DEPTH_WF872343_021_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,22,"-6, 5","14861857,273179","178706450, 144077319","0, -1",0,TOP_WIDTH,39.37,1,20250625_PROF_CONTACT_DEPTH_WF872343_022_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,23,"-6, 3","13056030,252052","170910845, 149193570","1, -1",1,TOP_WIDTH,41.5,3,20250625_PROF_CONTACT_DEPTH_WF872343_023_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,24,"4, 9","14101571,279505","177811505, 148701066","27, -1",27,TOP_WIDTH,32.07,3,20250625_PROF_CONTACT_DEPTH_WF872343_024_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,25,"8, 1","11766521,290874","176244360, 148629101","7, -1",7,TOP_WIDTH,34.12,4,20250625_PROF_CONTACT_DEPTH_WF872343_025_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,26,"-8, 0","10339216,226475","170290866, 144666250","7, -1",7,TOP_WIDTH,42.68,1,20250625_PROF_CONTACT_DEPTH_WF872343_026_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,27,"5, -2","14813822,242039","171836783, 147721122","26, -1",26,TOP_WIDTH,41.15,2,20250625_PROF_CONTACT_DEPTH_WF872343_027_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,28,"10, -3","14785836,212264","170383201, 142503418","5, -1",5,TOP_WIDTH,38.38,5,20250625_PROF_CONTACT_DEPTH_WF872343_028_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,29,"-1, 9","10201577,212120","175079984, 143335973","20, -1",20,TOP_WIDTH,41.04,5,20250625_PROF_CONTACT_DEPTH_WF872343_029_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,30,"-4, -8","10475538,280226","173293914, 140082417","15, -1",15,TOP_WIDTH,17.48,5,20250625_PROF_CONTACT_DEPTH_WF872343_030_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,31,"3, 2","10779546,279783","171932234, 142435784","20, -1",20,TOP_WIDTH,19.53,2,20250625_PROF_CONTACT_DEPTH_WF872343_031_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,32,"-6, -6","11738502,220631","171981040, 147723303","24, -1",24,TOP_WIDTH,34.81,1,20250625_PROF_CONTACT_DEPTH_WF872343_032_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,33,"-6, -7","10748570,215195","171890953, 146418661","4, -1",4,TOP_WIDTH,42.4,1,20250625_PROF_CONTACT_DEPTH_WF872343_033_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,34,"-6, -4","10267742,258522","172281479, 145753560","29, -1",29,TOP_WIDTH,30.87,4,20250625_PROF_CONTACT_DEPTH_WF872343_034_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,35,"-3, 0","11660536,281654","173591821, 140621143","6, -1",6,TOP_WIDTH,27.94,3,20250625_PROF_CONTACT_DEPTH_WF872343_035_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,36,"-4, 0","14497539,201757","173000398, 147639392","21, -1",21,TOP_WIDTH,39.34,5,20250625_PROF_CONTACT_DEPTH_WF872343_036_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,37,"-7, 6","11255202,236968","172955091, 141685416","0, -1",0,TOP_WIDTH,38.7,4,20250625_PROF_CONTACT_DEPTH_WF872343_037_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,38,"6, 5","14402478,218430","175656532, 140146669","10, -1",10,TOP_WIDTH,44.46,2,20250625_PROF_CONTACT_DEPTH_WF872343_038_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,39,"5, 10","12405122,249227","172161029, 140287140","18, -1",18,TOP_WIDTH,20.81,3,20250625_PROF_CONTACT_DEPTH_WF872343_039_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,40,"-1, 10","13191828,208653","170020737, 143600695","18, -1",18,TOP_WIDTH,32.89,2,20250625_PROF_CONTACT_DEPTH_WF872343_040_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,41,"8, 6","14894407,265084","170286698, 141630209","14, -1",14,TOP_WIDTH,18.56,3,20250625_PROF_CONTACT_DEPTH_WF872343_041_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,42,"-4, -9","13555613,247056","179222351, 145480092","12, -1",12,TOP_WIDTH,24.21,2,20250625_PROF_CONTACT_DEPTH_WF872343_042_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,43,"-4, 2","10226846,233994","171257435, 142620107","-1, -1",-1,TOP_WIDTH,44.7,1,20250625_PROF_CONTACT_DEPTH_WF872343_043_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,44,"1, 5","11032745,247424","172717134, 148041495","15, -1",15,TOP_WIDTH,23.34,2,20250625_PROF_CONTACT_DEPTH_WF872343_044_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,45,"6, -9","10516055,258079","171432331, 147234702","18, -1",18,TOP_WIDTH,15.67,2,20250625_PROF_CONTACT_DEPTH_WF872343_045_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,46,"-6, 1","11061014,236883","178909493, 141795827","8, -1",8,TOP_WIDTH,43.59,2,20250625_PROF_CONTACT_DEPTH_WF872343_046_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,47,"8, 1","10063564,229076","174789153, 140543296","3, -1",3,TOP_WIDTH,15.51,3,20250625_PROF_CONTACT_DEPTH_WF872343_047_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,48,"1, -4","14163996,273980","177574470, 146183513","25, -1",25,TOP_WIDTH,24.25,1,20250625_PROF_CONTACT_DEPTH_WF872343_048_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,49,"0, -1","13714578,277348","175839010, 146240617","26, -1",26,TOP_WIDTH,20.17,2,20250625_PROF_CONTACT_DEPTH_WF872343_049_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,50,"-3, 1","14022937,213949","172296115, 144212751","0, -1",0,TOP_WIDTH,18.32,5,20250625_PROF_CONTACT_DEPTH_WF872343_050_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,51,"-8, -1","10994130,267394","172057504, 140649788","25, -1",25,TOP_WIDTH,42.34,4,20250625_PROF_CONTACT_DEPTH_WF872343_051_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,52,"4, 9","11928129,213156","177538435, 146688041","30, -1",30,TOP_WIDTH,17.7,2,20250625_PROF_CONTACT_DEPTH_WF872343_052_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,53,"1, 5","14330869,205586","179133057, 140220268","25, -1",25,TOP_WIDTH,36.8,3,20250625_PROF_CONTACT_DEPTH_WF872343_053_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,54,"2, -3","10900954,219415","179944650, 140511403","3, -1",3,TOP_WIDTH,44.23,1,20250625_PROF_CONTACT_DEPTH_WF872343_054_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,55,"2, 5","10708292,225622","178528917, 140712203","3, -1",3,TOP_WIDTH,22.4,4,20250625_PROF_CONTACT_DEPTH_WF872343_055_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,56,"9, 1","11922576,243534","171337271, 140801923","9, -1",9,TOP_WIDTH,25.83,5,20250625_PROF_CONTACT_DEPTH_WF872343_056_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,57,"-2, -7","14127473,239352","173346962, 146721240","22, -1",22,TOP_WIDTH,20.9,1,20250625_PROF_CONTACT_DEPTH_WF872343_057_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,58,"5, -6","13649850,223819","175854133, 148920306","21, -1",21,TOP_WIDTH,25.66,4,20250625_PROF_CONTACT_DEPTH_WF872343_058_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,59,"9, -3","13602780,278139","174257397, 148324420","-1, -1",-1,TOP_WIDTH,18.61,1,20250625_PROF_CONTACT_DEPTH_WF872343_059_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,60,"-1, 1","11669037,287955","173361577, 146754169","25, -1",25,TOP_WIDTH,42.58,4,20250625_PROF_CONTACT_DEPTH_WF872343_060_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,61,"-3, 3","13669805,251593","177328436, 142498354","18, -1",18,TOP_WIDTH,16.92,2,20250625_PROF_CONTACT_DEPTH_WF872343_061_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,62,"-6, 5","13984617,202487","170538290, 140966046","12, -1",12,TOP_WIDTH,27.44,1,20250625_PROF_CONTACT_DEPTH_WF872343_062_TOP_WIDTH_20250719_083511.tif
20250625_PROF_CONTACT_DEPTH_WF872343,63,"-1, -10","12771023,282160","179887051, 140418312","25, -1",25,TOP_WIDTH,18.49,4,20250625_PROF_CONTACT_DEPTH_WF872343_063_TOP_WIDTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,1,"-3, 2","10313320,202575","174407277, 149824143","24, -1",24,CORRELATION_LENGTH,47.66,1,20250710_ROUGH_SIDEWALL_LER_WF956253_001_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,1,"-3, 2","10313320,202575","174407277, 149824143","24, -1",24,LWR,42.82,5,20250710_ROUGH_SIDEWALL_LER_WF956253_001_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,2,"9, -5","12261201,275257","170050782, 145285611","22, -1",22,CORRELATION_LENGTH,12.63,2,20250710_ROUGH_SIDEWALL_LER_WF956253_002_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,2,"9, -5","12261201,275257","170050782, 145285611","22, -1",22,LWR,11.69,5,20250710_ROUGH_SIDEWALL_LER_WF956253_002_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,3,"6, -4","14209705,204967","179892613, 144993383","19, -1",19,CORRELATION_LENGTH,42.87,4,20250710_ROUGH_SIDEWALL_LER_WF956253_003_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,3,"6, -4","14209705,204967","179892613, 144993383","19, -1",19,LWR,41.33,5,20250710_ROUGH_SIDEWALL_LER_WF956253_003_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,4,"3, -1","11876369,284938","171092509, 143333025","14, -1",14,CORRELATION_LENGTH,37.41,4,20250710_ROUGH_SIDEWALL_LER_WF956253_004_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,4,"3, -1","11876369,284938","171092509, 143333025","14, -1",14,LWR,25.29,5,20250710_ROUGH_SIDEWALL_LER_WF956253_004_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,5,"-2, 1","10856102,253855","176408963, 141670620","15, -1",15,CORRELATION_LENGTH,21.47,1,20250710_ROUGH_SIDEWALL_LER_WF956253_005_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,5,"-2, 1","10856102,253855","176408963, 141670620","15, -1",15,LWR,29.4,5,20250710_ROUGH_SIDEWALL_LER_WF956253_005_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,6,"-3, 9","12082403,230578","172922514, 145407624","6, -1",6,CORRELATION_LENGTH,39.48,5,20250710_ROUGH_SIDEWALL_LER_WF956253_006_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,6,"-3, 9","12082403,230578","172922514, 145407624","6, -1",6,LWR,36.79,5,20250710_ROUGH_SIDEWALL_LER_WF956253_006_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,7,"-2, 0","14889417,274509","171911569, 147483778","2, -1",2,CORRELATION_LENGTH,38.46,3,20250710_ROUGH_SIDEWALL_LER_WF956253_007_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,7,"-2, 0","14889417,274509","171911569, 147483778","2, -1",2,LWR,16.61,4,20250710_ROUGH_SIDEWALL_LER_WF956253_007_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,8,"7, 5","11170769,203448","173596066, 147839464","14, -1",14,CORRELATION_LENGTH,42.79,5,20250710_ROUGH_SIDEWALL_LER_WF956253_008_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,8,"7, 5","11170769,203448","173596066, 147839464","14, -1",14,LWR,43.77,1,20250710_ROUGH_SIDEWALL_LER_WF956253_008_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,9,"-7, -2","13445552,207198","172656814, 140460189","21, -1",21,CORRELATION_LENGTH,35.11,1,20250710_ROUGH_SIDEWALL_LER_WF956253_009_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,9,"-7, -2","13445552,207198","172656814, 140460189","21, -1",21,LWR,43.98,5,20250710_ROUGH_SIDEWALL_LER_WF956253_009_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,10,"-7, -5","11973090,248414","179589226, 148605960","28, -1",28,CORRELATION_LENGTH,49.72,5,20250710_ROUGH_SIDEWALL_LER_WF956253_010_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,10,"-7, -5","11973090,248414","179589226, 148605960","28, -1",28,LWR,27.94,2,20250710_ROUGH_SIDEWALL_LER_WF956253_010_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,11,"-6, -8","10700455,258255","170376030, 149017784","18, -1",18,CORRELATION_LENGTH,48.58,5,20250710_ROUGH_SIDEWALL_LER_WF956253_011_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,11,"-6, -8","10700455,258255","170376030, 149017784","18, -1",18,LWR,11.22,1,20250710_ROUGH_SIDEWALL_LER_WF956253_011_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,12,"4, 5","13347068,234083","175102187, 148977554","24, -1",24,CORRELATION_LENGTH,14.81,3,20250710_ROUGH_SIDEWALL_LER_WF956253_012_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,12,"4, 5","13347068,234083","175102187, 148977554","24, -1",24,LWR,30.88,2,20250710_ROUGH_SIDEWALL_LER_WF956253_012_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,13,"5, -3","13693953,266433","176271311, 147342847","17, -1",17,CORRELATION_LENGTH,16.9,1,20250710_ROUGH_SIDEWALL_LER_WF956253_013_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,13,"5, -3","13693953,266433","176271311, 147342847","17, -1",17,LWR,20.38,1,20250710_ROUGH_SIDEWALL_LER_WF956253_013_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,14,"1, 3","13978780,241969","177940241, 141571975","5, -1",5,CORRELATION_LENGTH,43.68,4,20250710_ROUGH_SIDEWALL_LER_WF956253_014_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,14,"1, 3","13978780,241969","177940241, 141571975","5, -1",5,LWR,32.54,3,20250710_ROUGH_SIDEWALL_LER_WF956253_014_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,15,"5, 9","13382534,211993","171409831, 142647964","15, -1",15,CORRELATION_LENGTH,36.97,5,20250710_ROUGH_SIDEWALL_LER_WF956253_015_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,15,"5, 9","13382534,211993","171409831, 142647964","15, -1",15,LWR,20.82,2,20250710_ROUGH_SIDEWALL_LER_WF956253_015_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,16,"6, -8","13552361,273359","178467237, 142523914","24, -1",24,CORRELATION_LENGTH,25.68,4,20250710_ROUGH_SIDEWALL_LER_WF956253_016_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,16,"6, -8","13552361,273359","178467237, 142523914","24, -1",24,LWR,36.58,1,20250710_ROUGH_SIDEWALL_LER_WF956253_016_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,17,"-3, 9","10361840,277180","175949892, 143847640","8, -1",8,CORRELATION_LENGTH,46.19,1,20250710_ROUGH_SIDEWALL_LER_WF956253_017_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,17,"-3, 9","10361840,277180","175949892, 143847640","8, -1",8,LWR,41.6,4,20250710_ROUGH_SIDEWALL_LER_WF956253_017_LWR_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,18,"-6, -8","12974684,255987","170738553, 148293908","20, -1",20,CORRELATION_LENGTH,19.92,4,20250710_ROUGH_SIDEWALL_LER_WF956253_018_CORRELATION_LENGTH_20250719_083511.tif
20250710_ROUGH_SIDEWALL_LER_WF956253,18,"-6, -8","12974684,255987","170738553, 148293908","20, -1",20,LWR,21.36,5,20250710_ROUGH_SIDEWALL_LER_WF956253_018_LWR_20250719_083511.tif
